Trader_Id,Latitude,Longtitude
1,61.2698079,36.4045915
2,-4.8149897,42.4914204
3,39.042852,24.880095
4,-23.2248099,35.8024758
5,19.3387759,40.42
6,8.582235,55.321347
,37.868872,22.994717
8,16.944093,1.805165
9,53.4017676,36.833095
10,40.2982408,29.235797
11,0.5299444,35.0107648
12,12.1630333,60.261145
13,11.2428856,61.0962323
14,-31.3203573,55.9180886
15,11.1869803,34.3552212
16,30.63963,22.483182
17,60.6302526,49.51688
18,14.2552463,41.0451316
,,
20,34.728584,61.2318649
21,35.10456,35.368795
,13.4343708,-12.5477492
23,50.0349276,44.7791213
24,37.401244,43.0007361
25,33.007669,21.8528313
26,-10.2017376,-31.413822
27,36.1964847,52.7990255
28,52.5177754,42.8038334
29,52.1682974,39.478747
30,50.9093945,28.260189
,13.4345789,35.00394
32,56.8530446,7.92772
,-10.8561052,31.138677
34,43.5963366,17.1179264
35,-31.4787554,24.173306
,44.8353965,54.5156
37,-6.9163257,13.9802139
,33.011529,49.6638448
39,42.7123148,45.900828
40,49.1835908,48.7381259
41,59.8557818,39.921095
42,48.7114913,7.0063409
43,,
44,,
,53.83345,31.412405
46,26.855047,32.113366
47,34.0236518,41.576749
48,6.5411018,41.3121037
,44.0207262,11.4145346
50,41.81194,22.816884
,,
52,-22.5899119,-8.1264039
53,9.3847618,34.9116774
54,48.6057111,50.3539812
55,39.3195065,17.0935616
56,40.608793,9.5646371
57,50.3844613,39.999174
58,-6.427987,-12.5477492
59,40.266667,35.1899597
60,38.7451684,49.7289952
61,,
,59.3729008,25.90348
,33.437877,33.7098769
64,38.05106,9.6389796
65,49.8167342,50.2650642
66,14.8925962,-24.0860329
67,32.883468,32.1717952
,30.3608801,29.23682
69,-7.3474138,51.811764
,32.837949,28.174872
71,0.8275786,43.3362822
72,14.0246473,53.3524256
73,-6.1791624,55.7213148
74,50.795058,41.7958538
75,15.86056,36.7683527
76,-7.3708505,0.125082
77,9.562389,-6.3077304
78,18.504589,15.226768
79,,
80,53.8386511,-6.9901702
81,37.3081316,-0.5350427
82,25.6564843,38.95389
83,43.817071,28.395681
,-26.7162431,30.0705556
85,15.6580509,14.0228518
86,47.797708,33.4646833
87,33.4749653,56.1357417
88,-3.8847265,19.9348887
89,-16.025181,-0.8406658
90,8.5493413,-9.7702219
91,45.9536011,10.9893
92,39.9863563,35.275
,49.9406828,31.364042
94,29.686366,-4.5802788
95,13.1089876,8.5860654
96,-34.179452,24.804061
97,12.0718334,16.2484522
98,60.2577358,15.63981
99,34.675197,55.6780762
100,24.564073,45.1462441
101,4.6096768,22.2799907
102,-7.5231833,57.5798009
103,-4.4864625,22.517585
104,65.8375549,41.3893716
105,7.8231145,22.937244
106,63.4400274,31.760353
,44.8737926,37.730256
108,51.287518,-30.1090924
109,30.905779,57.7069317
110,59.5448264,4.727773
111,39.726929,37.9440927
112,31.236833,22.517585
113,50.5799257,44.5089456
114,-7.3966297,20.3005979
,52.6806269,-5.6455578
116,-6.8312395,45.4556955
117,49.2389409,9.3257165
118,,
119,24.324999,28.5009486
120,-11.6604039,-6.22625
,37.4325375,63.2563101
122,-12.0663691,14.8288248
,-8.3278028,8.797145
124,34.746611,11.1572834
125,43.8006906,49.5206119
126,31.491169,30.97213
127,34.7577423,30.1738031
128,53.169971,43.4945737
129,34.26545,5.6052635
130,-8.4642661,-8.3026125
131,47.3591366,59.2889777
132,43.2837871,-10.7964
133,31.2889778,6.4387946
134,,
135,46.6908888,17.7524749
136,52.5277159,54.3051891
137,-17.4086322,-26.6707181
138,40.5463267,2.013818
139,62.5013857,51.1018522
140,13.5201065,45.0636892
141,53.4004864,50.6960614
142,-9.9831,10.4980067
143,-22.7563906,-0.0917016
144,-6.6769374,-12.9361186
145,59.8646264,-14.4296108
146,43.4945737,29.9997656
147,57.8308498,38.0187253
148,30.619516,21.857958
149,9.0028747,31.364902
150,31.723247,-1.6635508
151,-20.0783278,35.2299999
152,39.7575072,15.44485
,22.492431,54.2388118
,25.66145,52.5593605
155,5.1215877,-3.059218
156,49.9569799,33.613239
157,-34.7097222,28.11579
,52.2215511,58.6701908
159,35.287727,13.5543249
,34.7299999,-7.6323091
161,57.6817979,43.1235823
162,-7.4536,50.4333399
163,30.167585,42.82042
164,35.897702,44.7154014
165,9.5384134,45.0806751
166,41.985186,18.8478608
167,-7.400943,42.021602
168,-27.641736,49.8691711
169,33.8181422,50.1046609
170,54.20802,18.1096868
171,42.12215,39.6920939
,45.3836941,55.8395478
173,50.511083,49.7881321
174,0.8927499,53.09697
175,45.46536,41.119997
176,14.9659262,59.3460413
177,42.4576548,48.5851876
178,,
,34.199479,4.5087894
180,-8.0295271,38.963066
181,44.34072,60.552049
,41.28102,7.8394835
183,43.8249005,20.5476734
184,32.852247,43.1625916
185,0.4568473,-7.1477523
186,47.2550409,50.0957911
187,45.4969452,-26.1633679
188,55.7382444,17.1056791
189,49.0108843,31.121606
190,14.5570092,-16.4660314
191,,
192,53.8298337,54.4771768
,13.460196,38.6580874
,-24.2313531,52.3716937
195,41.2922523,19.3387759
196,-14.1700712,8.2301756
197,-23.5795137,-8.2538887
198,-21.2664483,21.0453008
199,-8.1130067,39.7298157
200,31.199997,41.676243
201,42.6484886,40.6390928
202,9.3567838,24.347782
203,18.4816259,40.6605521
204,9.915551,-15.0144051
205,-13.6635336,13.8135951
206,53.4413995,41.9208048
207,52.216745,3.1523104
208,49.9092319,45.469429
209,-36.42615,-24.6930487
210,-21.2922593,-21.5320586
211,14.565668,21.744605
212,41.3047616,54.3418823
,20.023731,-1.259553
214,44.9468994,39.726929
215,4.6096768,48.138899
216,10.9322366,45.3168
217,29.713689,41.2783338
218,3.1523104,10.431916
219,41.1872522,37.1952335
220,6.9955119,49.548202
221,28.682309,7.7701761
222,29.036141,45.4399116
223,48.8805451,-7.1045439
224,54.81998,40.6057199
225,,
226,57.6995979,47.9962116
227,37.1448926,39.9041999
228,-4.683333,-8.1373579
229,41.3199734,36.423873
230,39.6582667,-6.167943
231,33.9014372,16.7157136
232,0.965759,-7.003074
,-8.283558,32.161522
234,50.6809584,25.558201
235,23.436592,40.774461
,43.3213308,12.304106
237,13.2747943,48.1164447
238,-8.371078,42.65
